 ;;LAPORAN PENJUALAN DETAIL;;;;;;PERIODE : 01/07/26 - 31/07/26;;;;
;;INSPIRASI MEDIA KREATIF;;;;;;;;;;
;;;;;;;;;;;;
;;JL. TUKAD BATANGHARI XI NO 2;;;;;;;;;;
;;0361-4783465;;;;;;;;;;
;;-;;;;;;;;;;
 ;;;;;;;;;;;;
No Transaksi;;Tanggal;;Dept.;Kode Pel.;Nama Pelanggan;;;Alamat;;;
 ;;;;;;;;;;;;
 ;;;;;;;;;;;;
2;TARO CAT LITTER 25 L;TARO CAT LITTER 25 L;;;;;5;PCS;92.000;0;460.000;
3;TOP CAT LITTER 10 L;TOP CAT LITTER 10 L (ISI 3);;;;;6;PCS;49.000;0;294.000;
4;TARO CAT LITTER 5 LT;TARO CAT LITTER 5 LT (ISI 6);;;;;12;PCS;25.000;0;300.000;
5;TARO CAT LITTER 10 L;TARO CAT LITTER 10 L (ISI 3);;;;;6;PCS;45.500;0;273.000;
6;CAT CHOIZE SALMON 20KG;CAT CHOIZE SALMON 20KG;;;;;3;SAK;419.000;0;1.257.000;
7;CAT CHOIZE MOTHER & KITTEN 20KG;CAT CHOIZE MOTHER & KITTEN 20KG;;;;;1;SAK;472.000;0;472.000;
8;MARKOTOPS CAT LITTER 5.5 L;PASIR MARKOTOPS 5.5 L (ISI 5);;;;;5;PCS;30.000;0;150.000;
9;TOP CAT LITTER 5 L;TOP CAT LITTER 5 L (ISI 6);;;;;6;PCS;27.500;0;165.000;
;;;;;; ;;;;;;
;;;;;;;49;;;;3.896.000;
Pot. :;0;;Pajak :;0;;Biaya :;0;;Total Akhir :;3.896.000;;
 ;;;;;;;;;;;;
JL-0011321-26;;01/07/2026;;;PL5384;MIAW PETSHOP 3 - KRAMATJATI;;;JL. NUSA I RT 002/003 KEL. KRAMATJATI, KEC. KRAMATJATI  ;;;
No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;LIFE CAT 20 KG;LIFE CAT 20 KG;;;;;2;SAK;517.500;0;1.035.000;
2;EXCEL CAT 20 KG M&K;EXCEL CAT 20 KG MOTHER & KITTEN;;;;;1;SAK;470.000;0;470.000;
3;BOLT CAT TUNA 20KG IKAN FRESHPACK;BOLT CAT TUNA 20KG IKAN FRESHPACK;;;;;3;SAK;415.000;0;1.245.000;
4;MEO 7 KG - PERSIAN;MEO 6.8 KG - PERSIAN;;;;;1;SAK;297.000;0;297.000;
5;MEO 7 KG - TUNA;MEO 7 KG - TUNA;;;;;1;SAK;253.000;0;253.000;
6;MEO 7 KG - KITTEN OCEAN FISH;MEO 7 KG - KITTEN OCEAN FISH;;;;;2;SAK;297.000;0;594.000;
7;BOLT DOG 20KG BEEF - FRESHPACK;BOLT DOG 20KG BEEF - FRESHPACK;;;;;1;SAK;335.000;0;335.000;
8;BEAUTY CAT 20KG - CHICKEN & SALMON;BEAUTY CAT 20KG - CHICKEN & SALMON;;;;;2;SAK;523.000;0;1.046.000;
9;CAT CHOIZE KITTEN TUNA 20KG;CAT CHOIZE KITTEN TUNA 20KG;;;;;2;SAK;471.000;0;942.000;
10;CAT CHOIZE TUNA 20KG;CAT CHOIZE TUNA 20KG;;;;;3;SAK;419.000;0;1.257.000;
11;CAT CHOIZE SALMON 20KG;CAT CHOIZE SALMON 20KG;;;;;2;SAK;419.000;0;838.000;
12;CHESTER 20 KG FP - TUNA;CHESTER 20 KG FP - TUNA;;;;;1;SAK;379.000;0;379.000;
13;EXCEL CAT 20 KG C&T S;EXCEL CAT 20 KG CHICK&TUNA SEGITIGA;;;;;1;SAK;423.500;0;423.500;
14;BOLT CAT MOTHER&KITTEN 20KG TUNA;BOLT CAT MOTHER&KITTEN 20KG TUNA;;;;;1;SAK;471.500;0;471.500;
15;TARO CAT LITTER 5 LT;TARO CAT LITTER 5 LT (ISI 6);;;;;12;PCS;25.000;0;300.000;
16;MISTER PUSS SALMON 20KG;MISTER PUSS SALMON 20KG;;;;;1;SAK;383.000;0;383.000;
;;;;;; ;;;;;;
;;;;;;;36;;;;10.269.000;
Pot. :;0;;Pajak :;0;;Biaya :;0;;Total Akhir :;10.269.000;;
 ;;;;;;;;;;;;
JL-0011327-26;;01/07/2026;;;PL4101;NORMAT - LUBANG BUAYA;;;JL ALBAIDO RT.06/06 SMP 157  LUBANG BUAYA (SEBELAH DOK.SRI KUNING)  ;;;
No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;PAWSITIVE CAT SAND 25 L;PAWSITIVE CAT SAND 25 L;;;;;6;PCS;108.000;0;648.000;
;;;;;; ;;;;;;
;;;;;;;6;;;;648.000;
Pot. :;0;;Pajak :;0;;Biaya :;0;;Total Akhir :;648.000;;
 ;;;;;;;;;;;;
JL-0011360-26;;01/07/2026;;;PL6217;LUSI INDRIYANI;;;CIPINANG ASEM NO.25 RT 012/002 KEL. KEBON PALA, KEC. MAKASAR JAKARTA TIMUR DKI JAKARTA;;;
No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;CHESTER 20 KG FP - TUNA;CHESTER 20 KG FP - TUNA;;;;;1;SAK;379.000;0;379.000;
2;MISTER PUSS SALMON 20KG;MISTER PUSS SALMON 20KG;;;;;1;SAK;383.000;0;383.000;
;;;;;; ;;;;;;
;;;;;;;2;;;;762.000;
Pot. :;0;;Pajak :;0;;Biaya :;0;;Total Akhir :;762.000;;
 ;;;;;;;;;;;;
JL-0011368-26;;02/07/2026;;;PL2416;ARIF MURTADO;;;KP. LEUWINANGGUNG RT 001-008 LEUWINANGGUNG TAPOS DEPOK JAWA BARAT;;;
No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;BOLT CAT TUNA 20KG IKAN FRESHPACK;BOLT CAT TUNA 20KG IKAN FRESHPACK;;;;;5;SAK;415.000;0;2.075.000;
2;BOLT CAT TUNA 20KG DONAT FRESHPACK;BOLT CAT TUNA 20KG DONAT FRESHPACK;;;;;1;SAK;415.000;0;415.000;
3;MISTER PUSS SALMON 20KG;MISTER PUSS SALMON 20KG;;;;;1;SAK;383.000;0;383.000;
4;EXCEL CAT 20 KG TI;EXCEL CAT 20 KG TUNA IKAN;;;;;1;SAK;423.500;0;423.500;
5;CAT CHOIZE MOTHER & KITTEN 20KG;CAT CHOIZE MOTHER & KITTEN 20KG;;;;;1;SAK;472.000;0;472.000;
6;LEZATO TUNA 20KG;LEZATO TUNA 20KG;;;;;1;SAK;398.000;0;398.000;
7;TOP CAT LITTER 10 L;TOP CAT LITTER 10 L (ISI 3);;;;;24;PCS;49.000;0;1.176.000;
8;TOP CAT LITTER 5 L;TOP CAT LITTER 5 L (ISI 6);;;;;12;PCS;27.500;0;330.000;
9;TARO CAT LITTER 10 L;TARO CAT LITTER 10 L (ISI 3);;;;;6;PCS;45.500;0;273.000;
;;;;;; ;;;;;;
;;;;;;;52;;;;5.945.500;
